name,run_dir,model,comparison,n_seeds,differences,mean_difference,median_difference,min_difference,max_difference,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,all_seed_differences_positive
b32_materials_mc_dropout_ucb_final_count_mlp,runs/20260530T102134Z_b32-materials-mc-dropout-ucb-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,paired_seed_difference,10,"[43.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 45.0, 39.0, 45.0]",42.2,42.0,39.0,45.0,41.2,43.3,0.001953125,True
b32_gfp_mc_dropout_ucb_final_count_mlp,runs/20260530T102149Z_b32-gfp-mc-dropout-ucb-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,paired_seed_difference,10,"[58.0, 22.0, 85.0, 71.0, 26.0, 26.0, 41.0, 19.0, 49.0, 81.0]",47.8,45.0,19.0,85.0,33.5,62.80249999999996,0.001953125,True
