dataset,seed,mode,screen,history_count,pair_positive_count,target_positive_count,pair_auroc,pair_topk_recall,pair_topk_precision,target_auroc,target_topk_recall,target_topk_precision
GFP B19,3,random_swap,label_z_extremeness,2098,50,25,0.99462890625,0.8,0.8,0.9773275446213217,0.0,0.0
GFP B19,3,random_swap,feature_knn_residual,2098,50,25,0.70822265625,0.06,0.06,0.868268210323203,0.0,0.0
GFP B19,3,random_swap,ridge_loss_residual,2098,50,25,0.50828125,0.02,0.02,0.46504582730342503,0.04,0.04
GFP B19,3,random_swap,rf_oob_loss_residual,2098,50,25,0.607275390625,0.0,0.0,0.5293584177520502,0.0,0.0
GFP B19,3,random_swap,pca_spectral_score,2098,50,25,0.49306640625,0.02,0.02,0.6350217076700434,0.0,0.0
GFP B19,3,targeted_swap,label_z_extremeness,2098,50,25,0.997060546875,0.82,0.82,1.0,1.0,1.0
GFP B19,3,targeted_swap,feature_knn_residual,2098,50,25,0.758759765625,0.24,0.24,0.5580318379160637,0.0,0.0
GFP B19,3,targeted_swap,ridge_loss_residual,2098,50,25,0.816298828125,0.42,0.42,0.736825856246985,0.04,0.04
GFP B19,3,targeted_swap,rf_oob_loss_residual,2098,50,25,0.96744140625,0.54,0.54,0.9418427399903522,0.28,0.28
GFP B19,3,targeted_swap,pca_spectral_score,2098,50,25,0.49306640625,0.02,0.02,0.6350217076700434,0.0,0.0
GFP B19,4,clean,label_z_extremeness,2098,50,25,0.970322265625,0.78,0.78,0.9886541244573083,0.2,0.2
GFP B19,4,clean,feature_knn_residual,2098,50,25,0.7237109375,0.06,0.06,0.8860781476121563,0.0,0.0
GFP B19,4,clean,ridge_loss_residual,2098,50,25,0.51455078125,0.0,0.0,0.47722141823444286,0.0,0.0
GFP B19,4,clean,rf_oob_loss_residual,2098,50,25,0.62330078125,0.0,0.0,0.5627206946454414,0.0,0.0
GFP B19,4,clean,pca_spectral_score,2098,50,25,0.5284765625,0.06,0.06,0.6560347322720695,0.12,0.12
GFP B19,4,random_swap,label_z_extremeness,2098,50,25,0.96880859375,0.78,0.78,0.9886541244573083,0.2,0.2
GFP B19,4,random_swap,feature_knn_residual,2098,50,25,0.734560546875,0.04,0.04,0.8790545103714424,0.0,0.0
GFP B19,4,random_swap,ridge_loss_residual,2098,50,25,0.521826171875,0.04,0.04,0.44939700916546077,0.0,0.0
GFP B19,4,random_swap,rf_oob_loss_residual,2098,50,25,0.642587890625,0.02,0.02,0.5668692715870719,0.0,0.0
GFP B19,4,random_swap,pca_spectral_score,2098,50,25,0.5284765625,0.06,0.06,0.6560347322720695,0.12,0.12
GFP B19,4,targeted_swap,label_z_extremeness,2098,50,25,0.970322265625,0.78,0.78,0.9406464061746261,0.72,0.72
GFP B19,4,targeted_swap,feature_knn_residual,2098,50,25,0.77474609375,0.3,0.3,0.5794500723589001,0.0,0.0
GFP B19,4,targeted_swap,ridge_loss_residual,2098,50,25,0.786875,0.48,0.48,0.6348094548962856,0.12,0.12
GFP B19,4,targeted_swap,rf_oob_loss_residual,2098,50,25,0.976357421875,0.54,0.54,0.9583405692233478,0.2,0.2
GFP B19,4,targeted_swap,pca_spectral_score,2098,50,25,0.5284765625,0.06,0.06,0.6560347322720695,0.12,0.12
GFP B19,5,clean,label_z_extremeness,2098,50,25,0.99818359375,0.82,0.82,0.9843511818620359,0.0,0.0
GFP B19,5,clean,feature_knn_residual,2098,50,25,0.6967578125,0.0,0.0,0.8291365171249396,0.0,0.0
GFP B19,5,clean,ridge_loss_residual,2098,50,25,0.5795019531250001,0.0,0.0,0.5799903521466474,0.0,0.0
GFP B19,5,clean,rf_oob_loss_residual,2098,50,25,0.61119140625,0.0,0.0,0.5208104196816209,0.0,0.0
GFP B19,5,clean,pca_spectral_score,2098,50,25,0.5198828125,0.04,0.04,0.6432995658465992,0.0,0.0
GFP B19,5,random_swap,label_z_extremeness,2098,50,25,0.977138671875,0.78,0.78,0.9843511818620359,0.0,0.0
GFP B19,5,random_swap,feature_knn_residual,2098,50,25,0.69537109375,0.0,0.0,0.8294066570188134,0.0,0.0
GFP B19,5,random_swap,ridge_loss_residual,2098,50,25,0.576279296875,0.0,0.0,0.5427882296189098,0.0,0.0
GFP B19,5,random_swap,rf_oob_loss_residual,2098,50,25,0.617548828125,0.0,0.0,0.5290303907380608,0.0,0.0
GFP B19,5,random_swap,pca_spectral_score,2098,50,25,0.5198828125,0.04,0.04,0.6432995658465992,0.0,0.0
GFP B19,5,targeted_swap,label_z_extremeness,2098,50,25,0.99818359375,0.82,0.82,1.0,1.0,1.0
GFP B19,5,targeted_swap,feature_knn_residual,2098,50,25,0.76943359375,0.26,0.26,0.5731789676796912,0.0,0.0
GFP B19,5,targeted_swap,ridge_loss_residual,2098,50,25,0.7912304687500001,0.42,0.42,0.687776169802219,0.08,0.08
GFP B19,5,targeted_swap,rf_oob_loss_residual,2098,50,25,0.97291015625,0.48,0.48,0.9583019778099373,0.24,0.24
GFP B19,5,targeted_swap,pca_spectral_score,2098,50,25,0.5198828125,0.04,0.04,0.6432995658465992,0.0,0.0
GFP B19,6,clean,label_z_extremeness,2098,50,25,0.997919921875,0.82,0.82,0.9838301977809938,0.0,0.0
GFP B19,6,clean,feature_knn_residual,2098,50,25,0.725322265625,0.04,0.04,0.9040038591413411,0.08,0.08
GFP B19,6,clean,ridge_loss_residual,2098,50,25,0.471865234375,0.0,0.0,0.5596140858658949,0.0,0.0
GFP B19,6,clean,rf_oob_loss_residual,2098,50,25,0.62990234375,0.0,0.0,0.5784081041968162,0.0,0.0
GFP B19,6,clean,pca_spectral_score,2098,50,25,0.52642578125,0.02,0.02,0.6235600578871201,0.04,0.04
GFP B19,6,random_swap,label_z_extremeness,2098,50,25,0.9718457031250001,0.8,0.8,0.9704968644476604,0.0,0.0
GFP B19,6,random_swap,feature_knn_residual,2098,50,25,0.7217968749999999,0.04,0.04,0.8781090207428847,0.08,0.08
GFP B19,6,random_swap,ridge_loss_residual,2098,50,25,0.47047851562500004,0.0,0.0,0.5531114327062229,0.0,0.0
GFP B19,6,random_swap,rf_oob_loss_residual,2098,50,25,0.6171093750000001,0.02,0.02,0.5704196816208393,0.04,0.04
GFP B19,6,random_swap,pca_spectral_score,2098,50,25,0.52642578125,0.02,0.02,0.6235600578871201,0.04,0.04
GFP B19,6,targeted_swap,label_z_extremeness,2098,50,25,0.997919921875,0.82,0.82,1.0,1.0,1.0
GFP B19,6,targeted_swap,feature_knn_residual,2098,50,25,0.77203125,0.3,0.3,0.5633381572600097,0.0,0.0
GFP B19,6,targeted_swap,ridge_loss_residual,2098,50,25,0.78884765625,0.42,0.42,0.7657115291847564,0.16,0.16
GFP B19,6,targeted_swap,rf_oob_loss_residual,2098,50,25,0.9793359375,0.58,0.58,0.963068017366136,0.4,0.4
GFP B19,6,targeted_swap,pca_spectral_score,2098,50,25,0.52642578125,0.02,0.02,0.6235600578871201,0.04,0.04
GFP B19,7,clean,label_z_extremeness,2098,50,25,0.998564453125,0.84,0.84,0.9851037144235407,0.0,0.0
GFP B19,7,clean,feature_knn_residual,2098,50,25,0.696044921875,0.06,0.06,0.8551857211770381,0.04,0.04
GFP B19,7,clean,ridge_loss_residual,2098,50,25,0.5711230468750002,0.0,0.0,0.5368451519536903,0.0,0.0
GFP B19,7,clean,rf_oob_loss_residual,2098,50,25,0.574658203125,0.0,0.0,0.4998359864930053,0.0,0.0
GFP B19,7,clean,pca_spectral_score,2098,50,25,0.503505859375,0.04,0.04,0.558051133622769,0.0,0.0
GFP B19,7,random_swap,label_z_extremeness,2098,50,25,0.9801269531250001,0.8,0.8,0.9851037144235407,0.0,0.0
GFP B19,7,random_swap,feature_knn_residual,2098,50,25,0.7041015625,0.08,0.08,0.8586010612638688,0.04,0.04
GFP B19,7,random_swap,ridge_loss_residual,2098,50,25,0.530068359375,0.02,0.02,0.491365171249397,0.0,0.0
GFP B19,7,random_swap,rf_oob_loss_residual,2098,50,25,0.5868066406249999,0.02,0.02,0.5210612638687893,0.0,0.0
GFP B19,7,random_swap,pca_spectral_score,2098,50,25,0.503505859375,0.04,0.04,0.558051133622769,0.0,0.0
GFP B19,7,targeted_swap,label_z_extremeness,2098,50,25,0.998564453125,0.84,0.84,1.0,1.0,1.0
GFP B19,7,targeted_swap,feature_knn_residual,2098,50,25,0.770146484375,0.3,0.3,0.5599807042932947,0.0,0.0
GFP B19,7,targeted_swap,ridge_loss_residual,2098,50,25,0.7832714843749998,0.42,0.42,0.7040424505547516,0.08,0.08
GFP B19,7,targeted_swap,rf_oob_loss_residual,2098,50,25,0.97794921875,0.58,0.58,0.9616980221900627,0.4,0.4
GFP B19,7,targeted_swap,pca_spectral_score,2098,50,25,0.503505859375,0.04,0.04,0.558051133622769,0.0,0.0
GFP B19,8,clean,label_z_extremeness,2098,50,25,0.9662304687500001,0.76,0.76,0.9889821514712976,0.2,0.2
GFP B19,8,clean,feature_knn_residual,2098,50,25,0.6809765624999999,0.0,0.0,0.7877472262421611,0.0,0.0
GFP B19,8,clean,ridge_loss_residual,2098,50,25,0.5509765625,0.0,0.0,0.5984756391702847,0.0,0.0
GFP B19,8,clean,rf_oob_loss_residual,2098,50,25,0.6190234375,0.0,0.0,0.5813603473227207,0.0,0.0
GFP B19,8,clean,pca_spectral_score,2098,50,25,0.517705078125,0.04,0.04,0.6150506512301013,0.04,0.04
GFP B19,8,random_swap,label_z_extremeness,2098,50,25,0.94630859375,0.72,0.72,0.9889821514712976,0.2,0.2
GFP B19,8,random_swap,feature_knn_residual,2098,50,25,0.685810546875,0.02,0.02,0.7798938736131211,0.0,0.0
GFP B19,8,random_swap,ridge_loss_residual,2098,50,25,0.5315624999999999,0.0,0.0,0.5564688856729377,0.0,0.0
GFP B19,8,random_swap,rf_oob_loss_residual,2098,50,25,0.629794921875,0.02,0.02,0.5879401833092137,0.0,0.0
GFP B19,8,random_swap,pca_spectral_score,2098,50,25,0.517705078125,0.04,0.04,0.6150506512301013,0.04,0.04
GFP B19,8,targeted_swap,label_z_extremeness,2098,50,25,0.9662304687500001,0.76,0.76,0.9322334780511335,0.68,0.68
GFP B19,8,targeted_swap,feature_knn_residual,2098,50,25,0.775419921875,0.3,0.3,0.5787361312108056,0.0,0.0
GFP B19,8,targeted_swap,ridge_loss_residual,2098,50,25,0.8187109375,0.44,0.44,0.765827303424988,0.12,0.12
GFP B19,8,targeted_swap,rf_oob_loss_residual,2098,50,25,0.982578125,0.58,0.58,0.9714037626628076,0.4,0.4
GFP B19,8,targeted_swap,pca_spectral_score,2098,50,25,0.517705078125,0.04,0.04,0.6150506512301013,0.04,0.04
GFP B19,9,clean,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9865701881331403,0.2,0.2
GFP B19,9,clean,feature_knn_residual,2098,50,25,0.70515625,0.04,0.04,0.8509020742884709,0.04,0.04
GFP B19,9,clean,ridge_loss_residual,2098,50,25,0.5033496093750001,0.0,0.0,0.5059141341051615,0.0,0.0
GFP B19,9,clean,rf_oob_loss_residual,2098,50,25,0.58515625,0.0,0.0,0.5201350699469367,0.0,0.0
GFP B19,9,clean,pca_spectral_score,2098,50,25,0.53119140625,0.04,0.04,0.6252387843704776,0.04,0.04
GFP B19,9,random_swap,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9865701881331403,0.2,0.2
GFP B19,9,random_swap,feature_knn_residual,2098,50,25,0.70560546875,0.04,0.04,0.848528702363724,0.04,0.04
GFP B19,9,random_swap,ridge_loss_residual,2098,50,25,0.48672851562499997,0.0,0.0,0.4697925711529185,0.0,0.0
GFP B19,9,random_swap,rf_oob_loss_residual,2098,50,25,0.5862499999999999,0.0,0.0,0.5242064640617463,0.0,0.0
GFP B19,9,random_swap,pca_spectral_score,2098,50,25,0.53119140625,0.04,0.04,0.6252387843704776,0.04,0.04
GFP B19,9,targeted_swap,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9460684997588036,0.72,0.72
GFP B19,9,targeted_swap,feature_knn_residual,2098,50,25,0.7830078125000001,0.32,0.32,0.578986975397974,0.0,0.0
GFP B19,9,targeted_swap,ridge_loss_residual,2098,50,25,0.7830468749999999,0.48,0.48,0.6695996140858659,0.16,0.16
GFP B19,9,targeted_swap,rf_oob_loss_residual,2098,50,25,0.960283203125,0.58,0.58,0.9225856246985046,0.4,0.4
GFP B19,9,targeted_swap,pca_spectral_score,2098,50,25,0.53119140625,0.04,0.04,0.6252387843704776,0.04,0.04
Materials B18,0,clean,label_z_extremeness,1184,50,25,0.773994708994709,0.5,0.5,0.5362381363244175,0.0,0.0
Materials B18,0,clean,feature_knn_residual,1184,50,25,0.7239153439153438,0.42,0.42,0.46867989646246766,0.0,0.0
Materials B18,0,clean,ridge_loss_residual,1184,50,25,0.7513932980599647,0.38,0.38,0.5221742881794651,0.0,0.0
Materials B18,0,clean,rf_oob_loss_residual,1184,50,25,0.6106349206349206,0.18,0.18,0.3205522001725626,0.0,0.0
Materials B18,0,clean,pca_spectral_score,1184,50,25,0.6141622574955908,0.08,0.08,0.427679033649698,0.0,0.0
Materials B18,0,random_swap,label_z_extremeness,1184,50,25,0.7464902998236331,0.46,0.46,0.5362381363244175,0.0,0.0
Materials B18,0,random_swap,feature_knn_residual,1184,50,25,0.7239065255731922,0.36,0.36,0.48821397756686796,0.0,0.0
Materials B18,0,random_swap,ridge_loss_residual,1184,50,25,0.7437918871252204,0.32,0.32,0.5044003451251078,0.0,0.0
Materials B18,0,random_swap,rf_oob_loss_residual,1184,50,25,0.6278835978835979,0.26,0.26,0.33829163071613466,0.0,0.0
Materials B18,0,random_swap,pca_spectral_score,1184,50,25,0.6141622574955908,0.08,0.08,0.427679033649698,0.0,0.0
Materials B18,0,targeted_swap,label_z_extremeness,1184,50,25,0.773994708994709,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,0,targeted_swap,feature_knn_residual,1184,50,25,0.9207671957671958,0.5,0.5,0.9874374460742018,0.72,0.72
Materials B18,0,targeted_swap,ridge_loss_residual,1184,50,25,0.9130158730158731,0.34,0.34,0.9623468507333908,0.48,0.48
Materials B18,0,targeted_swap,rf_oob_loss_residual,1184,50,25,0.9070017636684303,0.42,0.42,0.931044003451251,0.4,0.4
Materials B18,0,targeted_swap,pca_spectral_score,1184,50,25,0.6141622574955908,0.08,0.08,0.427679033649698,0.0,0.0
Materials B18,1,clean,label_z_extremeness,1184,50,25,0.7825925925925926,0.5,0.5,0.5530629853321829,0.0,0.0
Materials B18,1,clean,feature_knn_residual,1184,50,25,0.709320987654321,0.4,0.4,0.4382571182053494,0.0,0.0
Materials B18,1,clean,ridge_loss_residual,1184,50,25,0.7594356261022929,0.4,0.4,0.5399482312338223,0.0,0.0
Materials B18,1,clean,rf_oob_loss_residual,1184,50,25,0.6105731922398588,0.24,0.24,0.29002588438308885,0.0,0.0
Materials B18,1,clean,pca_spectral_score,1184,50,25,0.6117636684303351,0.08,0.08,0.4185677308024159,0.0,0.0
Materials B18,1,random_swap,label_z_extremeness,1184,50,25,0.7734391534391535,0.48,0.48,0.5530629853321829,0.0,0.0
Materials B18,1,random_swap,feature_knn_residual,1184,50,25,0.7088624338624339,0.4,0.4,0.435358067299396,0.0,0.0
Materials B18,1,random_swap,ridge_loss_residual,1184,50,25,0.763721340388007,0.38,0.38,0.5450560828300258,0.0,0.0
Materials B18,1,random_swap,rf_oob_loss_residual,1184,50,25,0.6011640211640211,0.22,0.22,0.29508196721311475,0.0,0.0
Materials B18,1,random_swap,pca_spectral_score,1184,50,25,0.6117636684303351,0.08,0.08,0.4185677308024159,0.0,0.0
Materials B18,1,targeted_swap,label_z_extremeness,1184,50,25,0.7825925925925926,0.5,0.5,0.9999309749784298,1.0,1.0
Materials B18,1,targeted_swap,feature_knn_residual,1184,50,25,0.9270105820105821,0.5,0.5,0.9897152717860224,0.68,0.68
Materials B18,1,targeted_swap,ridge_loss_residual,1184,50,25,0.9127513227513228,0.32,0.32,0.9738395168248489,0.52,0.52
Materials B18,1,targeted_swap,rf_oob_loss_residual,1184,50,25,0.8942504409171075,0.4,0.4,0.9181708369283865,0.28,0.28
Materials B18,1,targeted_swap,pca_spectral_score,1184,50,25,0.6117636684303351,0.08,0.08,0.4185677308024159,0.0,0.0
Materials B18,2,clean,label_z_extremeness,1184,50,25,0.7806084656084656,0.5,0.5,0.5491803278688525,0.0,0.0
Materials B18,2,clean,feature_knn_residual,1184,50,25,0.6886331569664903,0.42,0.42,0.4003968938740293,0.0,0.0
Materials B18,2,clean,ridge_loss_residual,1184,50,25,0.7499118165784832,0.38,0.38,0.5101639344262295,0.0,0.0
Materials B18,2,clean,rf_oob_loss_residual,1184,50,25,0.5864550264550265,0.24,0.24,0.29297670405522,0.0,0.0
Materials B18,2,clean,pca_spectral_score,1184,50,25,0.6211463844797177,0.08,0.08,0.4405867126833477,0.0,0.0
Materials B18,2,random_swap,label_z_extremeness,1184,50,25,0.7713668430335097,0.5,0.5,0.5310957722174288,0.0,0.0
Materials B18,2,random_swap,feature_knn_residual,1184,50,25,0.6922927689594356,0.42,0.42,0.4087661777394306,0.0,0.0
Materials B18,2,random_swap,ridge_loss_residual,1184,50,25,0.7530158730158729,0.36,0.36,0.5148921484037964,0.0,0.0
Materials B18,2,random_swap,rf_oob_loss_residual,1184,50,25,0.6174603174603175,0.26,0.26,0.3360138050043141,0.0,0.0
Materials B18,2,random_swap,pca_spectral_score,1184,50,25,0.6211463844797177,0.08,0.08,0.4405867126833477,0.0,0.0
Materials B18,2,targeted_swap,label_z_extremeness,1184,50,25,0.7806084656084656,0.5,0.5,0.9999309749784296,1.0,1.0
Materials B18,2,targeted_swap,feature_knn_residual,1184,50,25,0.9156966490299825,0.5,0.5,0.9899568593615186,0.68,0.68
Materials B18,2,targeted_swap,ridge_loss_residual,1184,50,25,0.9082186948853616,0.34,0.34,0.9776358930112166,0.56,0.56
Materials B18,2,targeted_swap,rf_oob_loss_residual,1184,50,25,0.882416225749559,0.44,0.44,0.9054012079378775,0.32,0.32
Materials B18,2,targeted_swap,pca_spectral_score,1184,50,25,0.6211463844797177,0.08,0.08,0.4405867126833477,0.0,0.0
Materials B18,3,clean,label_z_extremeness,1184,50,25,0.7841358024691358,0.5,0.5,0.5560828300258844,0.0,0.0
Materials B18,3,clean,feature_knn_residual,1184,50,25,0.7262345679012345,0.42,0.42,0.4679378774805868,0.0,0.0
Materials B18,3,clean,ridge_loss_residual,1184,50,25,0.7616931216931216,0.38,0.38,0.5267989646246765,0.0,0.0
Materials B18,3,clean,rf_oob_loss_residual,1184,50,25,0.6153615520282187,0.28,0.28,0.33722174288179463,0.0,0.0
Materials B18,3,clean,pca_spectral_score,1184,50,25,0.6115873015873017,0.1,0.1,0.4156341673856773,0.0,0.0
Materials B18,3,random_swap,label_z_extremeness,1184,50,25,0.7749029982363315,0.48,0.48,0.5560828300258844,0.0,0.0
Materials B18,3,random_swap,feature_knn_residual,1184,50,25,0.7228659611992945,0.4,0.4,0.46555651423641076,0.0,0.0
Materials B18,3,random_swap,ridge_loss_residual,1184,50,25,0.738042328042328,0.36,0.36,0.4840724762726488,0.0,0.0
Materials B18,3,random_swap,rf_oob_loss_residual,1184,50,25,0.6294356261022929,0.3,0.3,0.3518205349439172,0.0,0.0
Materials B18,3,random_swap,pca_spectral_score,1184,50,25,0.6115873015873017,0.1,0.1,0.4156341673856773,0.0,0.0
Materials B18,3,targeted_swap,label_z_extremeness,1184,50,25,0.7841358024691358,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,3,targeted_swap,feature_knn_residual,1184,50,25,0.9174074074074073,0.5,0.5,0.9879896462467644,0.68,0.68
Materials B18,3,targeted_swap,ridge_loss_residual,1184,50,25,0.8983774250440918,0.3,0.3,0.9707333908541846,0.52,0.52
Materials B18,3,targeted_swap,rf_oob_loss_residual,1184,50,25,0.8900881834215167,0.32,0.32,0.8998446937014668,0.4,0.4
Materials B18,3,targeted_swap,pca_spectral_score,1184,50,25,0.6115873015873017,0.1,0.1,0.4156341673856773,0.0,0.0
Materials B18,4,clean,label_z_extremeness,1184,50,25,0.785679012345679,0.5,0.5,0.5591026747195859,0.0,0.0
Materials B18,4,clean,feature_knn_residual,1184,50,25,0.7372927689594356,0.4,0.4,0.49202761000862816,0.0,0.0
Materials B18,4,clean,ridge_loss_residual,1184,50,25,0.7536331569664904,0.42,0.42,0.5149266609145815,0.0,0.0
Materials B18,4,clean,rf_oob_loss_residual,1184,50,25,0.557989417989418,0.2,0.2,0.27433994823123387,0.0,0.0
Materials B18,4,clean,pca_spectral_score,1184,50,25,0.6226102292768959,0.06,0.06,0.45011216566005174,0.0,0.0
Materials B18,4,random_swap,label_z_extremeness,1184,50,25,0.758641975308642,0.46,0.46,0.5410181190681622,0.0,0.0
Materials B18,4,random_swap,feature_knn_residual,1184,50,25,0.7427513227513227,0.44,0.44,0.48924935289042276,0.0,0.0
Materials B18,4,random_swap,ridge_loss_residual,1184,50,25,0.7602292768959436,0.4,0.4,0.5246591889559966,0.0,0.0
Materials B18,4,random_swap,rf_oob_loss_residual,1184,50,25,0.6085185185185185,0.24,0.24,0.36935289042277825,0.0,0.0
Materials B18,4,random_swap,pca_spectral_score,1184,50,25,0.6226102292768959,0.06,0.06,0.45011216566005174,0.0,0.0
Materials B18,4,targeted_swap,label_z_extremeness,1184,50,25,0.785679012345679,0.5,0.5,0.9999309749784298,0.96,0.96
