dataset,seed,round,mode,batch_size,candidate_count,candidate_target_count,candidate_target_prevalence,proposed_target_count,binomial_tail_p,alpha,would_flag,is_control,is_targeted
gfp_b37,0,3,targeted_swap,100,45220,240,0.005307386112339673,96,1.4887388887285894e-212,0.001,True,False,True
gfp_b37,0,3,targeted_swap,100,45220,240,0.005307386112339673,96,1.4887388887285894e-212,0.0001,True,False,True
gfp_b37,0,4,targeted_swap,100,45120,240,0.005319148936170213,97,4.059953035669762e-216,0.05,True,False,True
gfp_b37,0,4,targeted_swap,100,45120,240,0.005319148936170213,97,4.059953035669762e-216,0.01,True,False,True
gfp_b37,0,4,targeted_swap,100,45120,240,0.005319148936170213,97,4.059953035669762e-216,0.001,True,False,True
gfp_b37,0,4,targeted_swap,100,45120,240,0.005319148936170213,97,4.059953035669762e-216,0.0001,True,False,True
gfp_b37,1,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.05,False,True,False
gfp_b37,1,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.01,False,True,False
gfp_b37,1,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.001,False,True,False
gfp_b37,1,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.0001,False,True,False
gfp_b37,1,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.05,False,True,False
gfp_b37,1,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.01,False,True,False
gfp_b37,1,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.001,False,True,False
gfp_b37,1,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.0001,False,True,False
gfp_b37,1,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.05,False,True,False
gfp_b37,1,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.01,False,True,False
gfp_b37,1,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.001,False,True,False
gfp_b37,1,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.0001,False,True,False
gfp_b37,1,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.05,False,True,False
gfp_b37,1,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.01,False,True,False
gfp_b37,1,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.001,False,True,False
gfp_b37,1,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.0001,False,True,False
gfp_b37,1,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.05,False,True,False
gfp_b37,1,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.01,False,True,False
gfp_b37,1,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.001,False,True,False
gfp_b37,1,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.0001,False,True,False
gfp_b37,1,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.05,False,True,False
gfp_b37,1,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.01,False,True,False
gfp_b37,1,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.001,False,True,False
gfp_b37,1,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.0001,False,True,False
gfp_b37,1,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.05,False,True,False
gfp_b37,1,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.01,False,True,False
