dataset,model,mode,seed,round,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,discordance_score,calibration,threshold_source,score_threshold,flagged
gfp,mlp,clean,0,2,pos=117,100,9,0.09,3.7314340644122717,3.7334463226000003,-0.002012258187728655,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025690320740178445,False
gfp,mlp,clean,0,2,pos=158,100,7,0.07,3.7314340644122717,3.73932445947,-0.007890395057728483,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025588942527190153,False
gfp,mlp,clean,0,2,pos=161,100,12,0.12,3.7314340644122717,3.8193295166381667,-0.08789545222589501,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025588942527190153,False
gfp,mlp,clean,0,2,pos=166,100,5,0.05,3.7314340644122717,3.764713188388,-0.033279123975728186,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025588942527190153,False
gfp,mlp,clean,0,2,pos=171,100,10,0.1,3.7314340644122717,3.783109961355,-0.05167589694272845,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025690320740178445,False
gfp,mlp,clean,0,2,pos=184,100,5,0.05,3.7314340644122717,3.7476447049339994,-0.016210640521727715,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025588942527190153,False
gfp,mlp,clean,0,2,pos=214,100,5,0.05,3.7314340644122717,3.764621526282,-0.03318746186972854,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.029152750716446532,False
gfp,mlp,clean,0,2,pos=39,100,10,0.1,3.7314340644122717,3.7405716124950006,-0.00913754808272893,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025690320740178445,False
gfp,mlp,clean,0,2,pos=43,100,5,0.05,3.7314340644122717,3.82018493108,-0.08875086666772836,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.025690320740178445,False
gfp,mlp,clean,0,3,pos=155,100,5,0.05,3.7380401653601107,3.610546777484,0.12749338787611064,0.006374669393805533,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.02384927819056913,False
gfp,mlp,clean,0,3,pos=164,100,9,0.09,3.7380401653601107,3.69282893994,0.04521122542011069,0.004069010287809962,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024310410011768244,False
gfp,mlp,clean,0,3,pos=161,100,8,0.08,3.7380401653601107,3.6906108507818742,0.047429314578236514,0.0037943451662589213,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024414859153709296,False
gfp,mlp,clean,0,3,pos=212,100,5,0.05,3.7380401653601107,3.6654900280679996,0.07255013729211113,0.0036275068646055564,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.02972046255056829,False
gfp,mlp,clean,0,3,pos=107,100,5,0.05,3.7380401653601107,3.6763994068412,0.06164075851891093,0.003082037925945547,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=99,100,5,0.05,3.7380401653601107,3.676410584643,0.06162958071711078,0.003081479035855539,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024414859153709296,False
gfp,mlp,clean,0,3,pos=39,100,6,0.06,3.7380401653601107,3.6889424443250003,0.04909772103511045,0.002945863262106627,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=184,100,5,0.05,3.7380401653601107,3.721098652776,0.016941512584110807,0.0008470756292055404,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024414859153709296,False
gfp,mlp,clean,0,3,pos=198,100,10,0.1,3.7380401653601107,3.7379545612084284,8.560415168235025e-05,8.560415168235026e-06,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=128,100,7,0.07,3.7380401653601107,3.7816786851857143,-0.04363851982560352,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=144,100,5,0.05,3.7380401653601107,3.8273077893660004,-0.08926762400588961,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=146,100,5,0.05,3.7380401653601107,3.808059918942,-0.07001975358188917,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=158,100,9,0.09,3.7380401653601107,3.7650430516122224,-0.02700288625211167,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024414859153709296,False
gfp,mlp,clean,0,3,pos=163,100,9,0.09,3.7380401653601107,3.8323689017611113,-0.09432873640100059,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024414859153709296,False
gfp,mlp,clean,0,3,pos=171,100,10,0.1,3.7380401653601107,3.7532295258799997,-0.01518936051988895,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=214,100,7,0.07,3.7380401653601107,3.866954613804286,-0.1289144484441751,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.029139032072082346,False
gfp,mlp,clean,0,3,pos=47,100,24,0.24,3.7380401653601107,3.75306990664566,-0.015029741285549125,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,3,pos=62,100,9,0.09,3.7380401653601107,3.8343235770149997,-0.09628341165488896,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024530142109009074,False
gfp,mlp,clean,0,4,pos=184,100,6,0.06,3.731604679052973,3.615331696546667,0.11627298250630602,0.006976378950378361,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.02303875737165199,False
gfp,mlp,clean,0,4,pos=146,100,11,0.11,3.731604679052973,3.694967078607273,0.03663760044570008,0.004030136049027009,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.023988722153882393,False
gfp,mlp,clean,0,4,pos=144,100,11,0.11,3.731604679052973,3.706983789848182,0.024620889204790775,0.002708297812526985,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
