dataset,run_dir,model,threshold,mode,seed,round,candidate_count,candidate_target_count,candidate_target_prevalence,batch_count,batch_target_count,batch_target_fraction,batch_concentration_ratio,would_quarantine,prevented_target_count,prevented_target_count_to_date,observed_final_target_count,residual_final_target_count_if_quarantined,is_target_mode
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,0,0,2396,54,0.022537562604340568,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,0,1,2346,54,0.023017902813299233,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,0,2,2296,54,0.023519163763066203,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,0,3,2246,54,0.02404274265360641,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,0,4,2196,54,0.02459016393442623,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,1,0,2396,54,0.022537562604340568,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,1,1,2346,54,0.023017902813299233,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,1,2,2296,54,0.023519163763066203,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,1,3,2246,54,0.02404274265360641,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,1,4,2196,54,0.02459016393442623,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,2,0,2396,54,0.022537562604340568,50,0,0.0,0.0,False,0,0,0,0,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,0.8874074074074074,clean,2,1,2346,54,0.023017902813299233,50,0,0.0,0.0,False,0,0,0,0,False
