model,mode,n_seeds,start_round,mid_round,end_round,start_remaining_mean,mid_remaining_mean,end_remaining_mean,end_remaining_fraction_mean,end_remaining_fraction_min,end_remaining_fraction_max,mid_cumulative_mean,end_cumulative_mean,post_mid_gain_mean,post_mid_gain_max,seeds_with_post_mid_gain
mlp,targeted_swap,10,0,4,9,240.0,193.2,192.8,0.8033333333333333,0.6583333333333333,0.9208333333333333,47.1,47.2,0.1,1.0,1
tabm_mini,targeted_swap,10,0,4,9,240.0,203.9,203.9,0.8495833333333334,0.7541666666666667,0.9625,36.1,36.1,0.0,0.0,0
