dataset,seed,mode,screen,history_count,pair_positive_count,target_positive_count,pair_auroc,pair_topk_recall,pair_topk_precision,target_auroc,target_topk_recall,target_topk_precision
GFP B19,8,random_swap,feature_knn_residual,2098,50,25,0.685810546875,0.02,0.02,0.7798938736131211,0.0,0.0
GFP B19,8,targeted_swap,label_z_extremeness,2098,50,25,0.9662304687500001,0.76,0.76,0.9322334780511335,0.68,0.68
GFP B19,8,targeted_swap,feature_knn_residual,2098,50,25,0.775419921875,0.3,0.3,0.5787361312108056,0.0,0.0
GFP B19,9,clean,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9865701881331403,0.2,0.2
GFP B19,9,clean,feature_knn_residual,2098,50,25,0.70515625,0.04,0.04,0.8509020742884709,0.04,0.04
GFP B19,9,random_swap,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9865701881331403,0.2,0.2
GFP B19,9,random_swap,feature_knn_residual,2098,50,25,0.70560546875,0.04,0.04,0.848528702363724,0.04,0.04
GFP B19,9,targeted_swap,label_z_extremeness,2098,50,25,0.97201171875,0.7,0.7,0.9460684997588036,0.72,0.72
GFP B19,9,targeted_swap,feature_knn_residual,2098,50,25,0.7830078125000001,0.32,0.32,0.578986975397974,0.0,0.0
Materials B18,0,clean,label_z_extremeness,1184,50,25,0.773994708994709,0.5,0.5,0.5362381363244175,0.0,0.0
Materials B18,0,clean,feature_knn_residual,1184,50,25,0.7239153439153438,0.42,0.42,0.46867989646246766,0.0,0.0
Materials B18,0,random_swap,label_z_extremeness,1184,50,25,0.7464902998236331,0.46,0.46,0.5362381363244175,0.0,0.0
Materials B18,0,random_swap,feature_knn_residual,1184,50,25,0.7239065255731922,0.36,0.36,0.48821397756686796,0.0,0.0
Materials B18,0,targeted_swap,label_z_extremeness,1184,50,25,0.773994708994709,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,0,targeted_swap,feature_knn_residual,1184,50,25,0.9207671957671958,0.5,0.5,0.9874374460742018,0.72,0.72
Materials B18,1,clean,label_z_extremeness,1184,50,25,0.7825925925925926,0.5,0.5,0.5530629853321829,0.0,0.0
Materials B18,1,clean,feature_knn_residual,1184,50,25,0.709320987654321,0.4,0.4,0.4382571182053494,0.0,0.0
Materials B18,1,random_swap,label_z_extremeness,1184,50,25,0.7734391534391535,0.48,0.48,0.5530629853321829,0.0,0.0
Materials B18,1,random_swap,feature_knn_residual,1184,50,25,0.7088624338624339,0.4,0.4,0.435358067299396,0.0,0.0
Materials B18,1,targeted_swap,label_z_extremeness,1184,50,25,0.7825925925925926,0.5,0.5,0.9999309749784298,1.0,1.0
Materials B18,1,targeted_swap,feature_knn_residual,1184,50,25,0.9270105820105821,0.5,0.5,0.9897152717860224,0.68,0.68
Materials B18,2,clean,label_z_extremeness,1184,50,25,0.7806084656084656,0.5,0.5,0.5491803278688525,0.0,0.0
Materials B18,2,clean,feature_knn_residual,1184,50,25,0.6886331569664903,0.42,0.42,0.4003968938740293,0.0,0.0
Materials B18,2,random_swap,label_z_extremeness,1184,50,25,0.7713668430335097,0.5,0.5,0.5310957722174288,0.0,0.0
Materials B18,2,random_swap,feature_knn_residual,1184,50,25,0.6922927689594356,0.42,0.42,0.4087661777394306,0.0,0.0
Materials B18,2,targeted_swap,label_z_extremeness,1184,50,25,0.7806084656084656,0.5,0.5,0.9999309749784296,1.0,1.0
Materials B18,2,targeted_swap,feature_knn_residual,1184,50,25,0.9156966490299825,0.5,0.5,0.9899568593615186,0.68,0.68
Materials B18,3,clean,label_z_extremeness,1184,50,25,0.7841358024691358,0.5,0.5,0.5560828300258844,0.0,0.0
Materials B18,3,clean,feature_knn_residual,1184,50,25,0.7262345679012345,0.42,0.42,0.4679378774805868,0.0,0.0
Materials B18,3,random_swap,label_z_extremeness,1184,50,25,0.7749029982363315,0.48,0.48,0.5560828300258844,0.0,0.0
Materials B18,3,random_swap,feature_knn_residual,1184,50,25,0.7228659611992945,0.4,0.4,0.46555651423641076,0.0,0.0
Materials B18,3,targeted_swap,label_z_extremeness,1184,50,25,0.7841358024691358,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,3,targeted_swap,feature_knn_residual,1184,50,25,0.9174074074074073,0.5,0.5,0.9879896462467644,0.68,0.68
Materials B18,4,clean,label_z_extremeness,1184,50,25,0.785679012345679,0.5,0.5,0.5591026747195859,0.0,0.0
Materials B18,4,clean,feature_knn_residual,1184,50,25,0.7372927689594356,0.4,0.4,0.49202761000862816,0.0,0.0
Materials B18,4,random_swap,label_z_extremeness,1184,50,25,0.758641975308642,0.46,0.46,0.5410181190681622,0.0,0.0
Materials B18,4,random_swap,feature_knn_residual,1184,50,25,0.7427513227513227,0.44,0.44,0.48924935289042276,0.0,0.0
Materials B18,4,targeted_swap,label_z_extremeness,1184,50,25,0.785679012345679,0.5,0.5,0.9999309749784298,0.96,0.96
Materials B18,4,targeted_swap,feature_knn_residual,1184,50,25,0.9185008818342152,0.5,0.5,0.9864710957722174,0.68,0.68
Materials B18,5,clean,label_z_extremeness,1184,50,25,0.789647266313933,0.5,0.5,0.5668679896462467,0.0,0.0
Materials B18,5,clean,feature_knn_residual,1184,50,25,0.7278130511463845,0.4,0.4,0.476100086281277,0.0,0.0
Materials B18,5,random_swap,label_z_extremeness,1184,50,25,0.789647266313933,0.5,0.5,0.5668679896462467,0.0,0.0
Materials B18,5,random_swap,feature_knn_residual,1184,50,25,0.7167989417989418,0.4,0.4,0.4476445211389129,0.0,0.0
Materials B18,5,targeted_swap,label_z_extremeness,1184,50,25,0.789647266313933,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,5,targeted_swap,feature_knn_residual,1184,50,25,0.9340564373897706,0.54,0.54,0.9883347713546161,0.68,0.68
Materials B18,6,clean,label_z_extremeness,1184,50,25,0.7854585537918871,0.5,0.5,0.5586712683347713,0.0,0.0
Materials B18,6,clean,feature_knn_residual,1184,50,25,0.7050881834215168,0.38,0.38,0.43304572907679034,0.0,0.0
Materials B18,6,random_swap,label_z_extremeness,1184,50,25,0.7854585537918871,0.5,0.5,0.5586712683347713,0.0,0.0
