dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,clean,0,seed,PrinterNumber=3,200,76,0.38,24.150434210925,23.314818664671055,0.8356155462539441,0.31753390757649874,1
BEAR B70,rf_ucb,clean,0,seed,PrinterNumber=4,200,22,0.11,24.150434210925,21.633639030227272,2.516795180697727,0.27684746987674996,2
BEAR B70,rf_ucb,clean,0,seed,DecisionPolicy=7,200,15,0.075,24.150434210925,21.466470819333335,2.6839633915916643,0.20129725436937482,3
BEAR B70,rf_ucb,clean,0,seed,NozzleSize=0.5,200,7,0.035,24.150434210925,20.24211736285714,3.9083168480678587,0.13679108968237508,4
BEAR B70,rf_ucb,clean,0,seed,PrinterNozzle=1,200,7,0.035,24.150434210925,20.24211736285714,3.9083168480678587,0.13679108968237508,5
BEAR B70,rf_ucb,clean,0,seed,PrinterNumber=2,200,7,0.035,24.150434210925,20.24211736285714,3.9083168480678587,0.13679108968237508,6
BEAR B70,rf_ucb,clean,0,seed,DecisionPolicy=8,200,185,0.925,24.150434210925,24.368052864297297,-0.21761865337229835,0.0,7
BEAR B70,rf_ucb,clean,0,seed,NozzleSize=0.75,200,193,0.965,24.150434210925,24.292186635466322,-0.1417524245413233,0.0,8
BEAR B70,rf_ucb,clean,0,seed,PrinterNozzle=0,200,193,0.965,24.150434210925,24.292186635466322,-0.1417524245413233,0.0,9
BEAR B70,rf_ucb,clean,0,seed,PrinterNumber=1,200,95,0.475,24.150434210925,25.68974466805263,-1.5393104571276304,0.0,10
BEAR B70,rf_ucb,clean,1,seed,PrinterNumber=3,200,75,0.375,25.168559989025,23.687793419,1.4807665700250006,0.5552874637593752,1
BEAR B70,rf_ucb,clean,1,seed,DecisionPolicy=7,200,18,0.09,25.168559989025,20.343080834444443,4.825479154580556,0.43429312391225,2
BEAR B70,rf_ucb,clean,1,seed,PrinterNumber=4,200,21,0.105,25.168559989025,21.318747068095234,3.8498129209297645,0.40423035669762525,3
BEAR B70,rf_ucb,clean,1,seed,NozzleSize=0.5,200,9,0.045,25.168559989025,19.91376768666667,5.254792302358329,0.2364656536061248,4
BEAR B70,rf_ucb,clean,1,seed,PrinterNozzle=1,200,9,0.045,25.168559989025,19.91376768666667,5.254792302358329,0.2364656536061248,5
BEAR B70,rf_ucb,clean,1,seed,PrinterNumber=2,200,9,0.045,25.168559989025,19.91376768666667,5.254792302358329,0.2364656536061248,6
BEAR B70,rf_ucb,clean,1,seed,DecisionPolicy=8,200,182,0.91,25.168559989025,25.64580518013737,-0.4772451911123703,0.0,7
BEAR B70,rf_ucb,clean,1,seed,NozzleSize=0.75,200,191,0.955,25.168559989025,25.416168003272258,-0.24760801424725898,0.0,8
BEAR B70,rf_ucb,clean,1,seed,PrinterNozzle=0,200,191,0.955,25.168559989025,25.416168003272258,-0.24760801424725898,0.0,9
BEAR B70,rf_ucb,clean,1,seed,PrinterNumber=1,200,95,0.475,25.168559989025,27.68641993442106,-2.5178599453960615,0.0,10
BEAR B70,rf_ucb,clean,2,seed,PrinterNumber=3,200,66,0.33,22.958054310799998,22.31297925477273,0.6450750560272667,0.212874768488998,1
BEAR B70,rf_ucb,clean,2,seed,PrinterNumber=4,200,25,0.125,22.958054310799998,21.565329389,1.3927249217999993,0.1740906152249999,2
BEAR B70,rf_ucb,clean,2,seed,DecisionPolicy=7,200,16,0.08,22.958054310799998,21.24873686875,1.709317442049997,0.13674539536399977,3
BEAR B70,rf_ucb,clean,2,seed,NozzleSize=0.5,200,7,0.035,22.958054310799998,20.242117362857147,2.7159369479428506,0.09505779317799978,4
BEAR B70,rf_ucb,clean,2,seed,PrinterNozzle=1,200,7,0.035,22.958054310799998,20.242117362857147,2.7159369479428506,0.09505779317799978,5
BEAR B70,rf_ucb,clean,2,seed,PrinterNumber=2,200,7,0.035,22.958054310799998,20.242117362857147,2.7159369479428506,0.09505779317799978,6
BEAR B70,rf_ucb,clean,2,seed,DecisionPolicy=8,200,184,0.92,22.958054310799998,23.106690610108696,-0.14863629930869848,0.0,7
BEAR B70,rf_ucb,clean,2,seed,NozzleSize=0.75,200,193,0.965,22.958054310799998,23.056559795958552,-0.0985054851585545,0.0,8
BEAR B70,rf_ucb,clean,2,seed,PrinterNozzle=0,200,193,0.965,22.958054310799998,23.056559795958552,-0.0985054851585545,0.0,9
