case_id,family,domain,policy,coherence_fraction,coherent_pair_count,total_pair_count,target_count,target_prevalence,budget,outcome_scale,donor_target_contrast,standardized_contrast,mechanism_risk_score,swap_count_score,coherent_count_score,final_target_count,final_excess_count,budget_fraction_excess,target_capacity_fraction_excess,prevalence_normalized_budget_excess,include_in_global_fit,source_summary_csv,source_pair_csv,source_note,family_max_target_capacity_fraction_excess,family_normalized_excess,family_susceptibility
b11_materials_dose_10_mlp,b11_materials_dose,materials,mlp_top_mean,1.0,10,10,113,0.024543874891398785,250.0,1.4448773868882805,10.354000000000001,7.166005983593252,2.131758212328817,0.2974820586543648,0.2974820586543648,10.666666666666666,10.666666666666666,0.042666666666666665,0.0943952802359882,1.7383834808259586,True,runs/b11_materials_dose_response_aggregate_20260529.csv,runs/20260529T100336Z_b11-materials-dose-co-10swap-bg1024-mlp-tabm-3seed-80ep/targeted_swap_pairs.csv,"B11 materials dose response, MLP, 10 swaps.",0.14749262536873156,0.64,0.04428048157153201
b11_materials_dose_25_mlp,b11_materials_dose,materials,mlp_top_mean,1.0,25,25,113,0.024543874891398785,250.0,1.4448773868882805,8.54,5.910536130952904,2.780082340861322,0.4703604341917987,0.4703604341917987,16.666666666666668,16.666666666666668,0.06666666666666667,0.14749262536873156,2.7162241887905605,True,runs/b11_materials_dose_response_aggregate_20260529.csv,runs/20260529T100638Z_b11-materials-dose-co-25swap-bg1024-mlp-tabm-3seed-80ep/targeted_swap_pairs.csv,"B11 materials dose response, MLP, 25 swaps.",0.14749262536873156,1.0,0.05305332982440929
b11_materials_dose_50_mlp,b11_materials_dose,materials,mlp_top_mean,1.0,50,50,113,0.024543874891398785,250.0,1.4448773868882805,7.397200000000001,5.119603965794476,3.4055099007823753,0.6651901052377394,0.6651901052377394,10.0,9.666666666666666,0.03866666666666666,0.0855457227138643,1.5754100294985247,True,runs/b11_materials_dose_response_aggregate_20260529.csv,runs/20260529T100823Z_b11-materials-dose-co-50swap-bg1024-mlp-tabm-3seed-80ep/targeted_swap_pairs.csv,"B11 materials dose response, MLP, 50 swaps.",0.14749262536873156,0.58,0.02511979856356054
b22_gfp_dose_5_mlp,b22_gfp_dose,gfp,mlp_top_mean,1.0,5,5,240,0.005268,500.0,1.05856372167912,2.8229430229480004,2.6667672102631466,0.38491469167787373,0.14433756729740643,0.14433756729740643,53.5,53.5,0.107,0.22291666666666668,20.31131359149582,True,runs/b22_gfp_dose_response_aggregate_20260529.csv,runs/20260529T132145Z_b22-gfp-pos27-disttrigger-dim32-s003-5swap-bg2048-mlp-tabm-10seed-80ep/triggered_swap_pairs.csv,"B22 GFP dose response, MLP, triggered pos=27, 5 swaps.",0.22291666666666668,1.0,0.5791326532509196
b22_gfp_dose_10_mlp,b22_gfp_dose,gfp,mlp_top_mean,1.0,10,10,240,0.005268,500.0,1.05856372167912,2.811950067009,2.6563824259427817,0.542231792104695,0.2041241452319315,0.2041241452319315,42.5,42.4,0.0848,0.17666666666666667,16.097190584662112,True,runs/b22_gfp_dose_response_aggregate_20260529.csv,runs/20260529T134049Z_b22-gfp-pos27-disttrigger-dim32-s003-10swap-bg2048-mlp-tabm-10seed-80ep/triggered_swap_pairs.csv,"B22 GFP dose response, MLP, triggered pos=27, 10 swaps.",0.22291666666666668,0.7925233644859813,0.32581392171958
b22_gfp_dose_25_mlp,b22_gfp_dose,gfp,mlp_top_mean,1.0,25,25,240,0.005268,500.0,1.05856372167912,2.7743162385775997,2.620830642275281,0.845869452563521,0.3227486121839514,0.3227486121839514,47.1,47.0,0.094,0.19583333333333333,17.843583902809414,True,runs/b22_gfp_dose_response_aggregate_20260529.csv,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep/triggered_swap_pairs.csv,"B19/B22 GFP dose response, MLP, triggered pos=27, 25 swaps.",0.22291666666666668,0.8785046728971962,0.2315172072236846
b22_gfp_dose_50_mlp,b22_gfp_dose,gfp,mlp_top_mean,1.0,50,50,240,0.005268,500.0,1.05856372167912,2.7462265389082,2.5942949703132347,1.184128230052295,0.45643546458763845,0.45643546458763845,49.1,49.1,0.09820000000000001,0.20458333333333334,18.640850417615795,True,runs/b22_gfp_dose_response_aggregate_20260529.csv,runs/20260529T135907Z_b22-gfp-pos27-disttrigger-dim32-s003-50swap-bg2048-mlp-tabm-10seed-80ep/triggered_swap_pairs.csv,"B22 GFP dose response, MLP, triggered pos=27, 50 swaps.",0.22291666666666668,0.9177570093457944,0.17277126593316525
b50_materials_gp_ucb,b50_materials_gp_bo,materials,gp_ucb,1.0,25,25,113,0.024543874891398785,125.0,1.4448773868882805,8.54,5.910536130952904,2.780082340861322,0.4703604341917987,0.4703604341917987,7.2,4.6,0.0368,0.04070796460176991,1.4993557522123893,True,runs/20260530T172730Z_b50-materials-gp-ucb-5seed-20260530/summary_by_mode.csv,runs/20260530T172730Z_b50-materials-gp-ucb-5seed-20260530/relinking_map.csv,B50 reduced-pool materials GP-UCB replay.,0.049557522123893805,0.8214285714285714,0.014642719031536964
b50_materials_expected_improvement,b50_materials_gp_bo,materials,expected_improvement,1.0,25,25,113,0.024543874891398785,125.0,1.4448773868882805,8.54,5.910536130952904,2.780082340861322,0.4703604341917987,0.4703604341917987,8.4,5.6,0.0448,0.049557522123893805,1.8253026548672566,True,runs/20260530T172750Z_b50-materials-expected-improvement-5seed-20260530/summary_by_mode.csv,runs/20260530T172750Z_b50-materials-expected-improvement-5seed-20260530/relinking_map.csv,B50 reduced-pool materials expected-improvement replay.,0.049557522123893805,1.0,0.01782591882100152
b31_cameo_rf_ucb,b31_cameo_replay,cameo,rf_ucb,1.0,8,8,59,0.21223021582733814,48.0,3.4239684147478995,10.7495,3.139485736404337,1.1560523528750635,0.3682298471593293,0.3682298471593293,8.0,5.4,0.1125,0.1125,0.5300847457627118,True,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed/summary_by_mode.csv,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed/swap_pairs.csv,B31 CAMEO RF-UCB retrospective replay.,0.1125,1.0,0.09731393195145209
b53_sample_gp_ucb,b53_sample_replay,sample,gp_ucb,1.0,3,3,9,0.15254237288135594,15.0,8.601400949136256,20.761410349308765,2.4137242842276296,1.3935643652483587,0.5773502691896257,0.5773502691896257,1.8,1.5,0.1,0.16666666666666666,0.6555555555555556,True,runs/20260530T182020Z_b53-sample-retrospective-replay/summary_by_mode.csv,runs/20260530T182020Z_b53-sample-retrospective-replay/swap_pairs.csv,B53 SAMPLE protein SDL reduced-pool GP-UCB replay.,0.16666666666666666,1.0,0.11959739415191174
