seed,mode,round,pairs_used,label_multiset_preserved,batch_target_count,batch_target_fraction,batch_true_mean,batch_target_true_mean,candidate_target_count,mean_prediction_target,mean_prediction_non_target,mean_uncertainty_target,mean_uncertainty_non_target
0,clean,0,0,True,0,0.0,22.929672652375,,839,4.829630173120815,15.012535540011335,1.038075819331828,1.3734457141983534
0,clean,1,0,True,0,0.0,33.12148472175001,,839,4.099142807598879,14.905663921229014,1.149794077844639,1.4869178904235956
0,clean,2,0,True,0,0.0,30.293128558,,839,2.849518733562517,12.684045965263248,1.1068569120444312,1.610349940225178
0,clean,3,0,True,0,0.0,23.895963086000002,,839,4.456028591638578,14.40728487894621,1.0121568537611483,1.2512774316107413
0,clean,4,0,True,0,0.0,25.307899258499997,,839,4.306904305219624,14.375691585963233,1.0978017827886444,1.258378196698807
0,random_swap,0,100,True,0,0.0,21.32527880525,,839,4.908145661787894,13.146891905553037,1.0497791865710004,1.2131271175208522
0,random_swap,1,100,True,0,0.0,27.895506601624998,,839,4.5770924050505375,12.793627308111704,1.1114394388661704,1.334072165213908
0,random_swap,2,100,True,0,0.0,31.71052432375,,839,3.843473327142277,12.316270883868084,1.0656887672308601,1.5820749109121397
0,random_swap,3,100,True,0,0.0,28.783347246749997,,839,4.7652898682001625,13.929845343922834,1.0043630229074996,1.2497040484168387
0,random_swap,4,100,True,0,0.0,24.395188859,,839,5.35890051219185,14.706073114059322,1.113649021101696,1.3269117584701267
0,targeted_relink,0,100,True,40,1.0,1.2019167683749998,1.2019167683749998,839,17.80627384355265,7.573944066083579,2.044129642501006,1.1090554419454228
0,targeted_relink,1,100,True,40,1.0,4.111809146625,4.111809146625,799,15.812966896606934,12.693327181870218,3.0578013832582327,3.359510754051905
0,targeted_relink,2,100,True,39,0.975,7.23651875175,6.855796417435899,759,7.653038927692234,6.684615480970822,1.543255232012605,1.4675119712485603
0,targeted_relink,3,100,True,27,0.675,13.413482950125001,9.242598881666666,720,4.219909423055083,4.92345125697938,1.4845955049837818,1.2110246023013733
0,targeted_relink,4,100,True,1,0.025,22.758994408,22.74719511,693,3.5571987045987212,8.117950012092473,1.7760032538561452,1.5077970864069412
1,clean,0,0,True,0,0.0,24.170162076999997,,839,3.940614853362457,13.286029941376574,0.8826186169294342,1.2509981936732586
1,clean,1,0,True,0,0.0,33.706166406250006,,839,5.17677353999868,16.52037112062086,1.1894400217296117,1.6245519929585623
1,clean,2,0,True,0,0.0,29.301429803249995,,839,5.032101778684613,17.21334465695309,1.1145361010013115,1.5098762048062597
1,clean,3,0,True,0,0.0,26.735850679374998,,839,4.54750494434417,15.273620452478195,1.0039823916527986,1.3936231336208793
1,clean,4,0,True,0,0.0,22.478456676125,,839,4.282308828623724,13.707337667409728,0.9541870092465776,1.3391784142522412
1,random_swap,0,100,True,0,0.0,22.839226488499996,,839,5.066587047162436,13.45874109154282,1.0084318167391606,1.2616537197932036
1,random_swap,1,100,True,0,0.0,22.696828962125,,839,4.5427122101026445,12.199867103060054,1.2131280109479332,1.5078981264034985
1,random_swap,2,100,True,0,0.0,33.695997195749996,,839,4.868206694005168,13.954332337256277,1.061454562284685,1.3808423667101242
1,random_swap,3,100,True,0,0.0,29.804721076000003,,839,5.594015622579251,15.533377552540294,1.0072662940826091,1.3077623085981522
1,random_swap,4,100,True,0,0.0,26.201753456124997,,839,5.746512421847589,14.989976935246679,0.9408743407906868,1.3532633797891984
1,targeted_relink,0,100,True,40,1.0,1.218808449375,1.218808449375,839,17.93421133463635,9.187030880192784,1.9973878860103456,0.85623941051245
1,targeted_relink,1,100,True,34,0.85,9.081624435875,6.976537368970588,799,8.27226451678723,8.681401317744585,2.3823399728028134,2.4615222048063217
1,targeted_relink,2,100,True,8,0.2,18.248206475875,5.618333849375,765,12.688656715117752,16.767317649410792,2.1473634785460347,2.0421922838966817
1,targeted_relink,3,100,True,0,0.0,27.283141824250002,,757,6.747576615382625,10.227644118362726,1.802001549215673,1.7068691742530784
1,targeted_relink,4,100,True,0,0.0,32.98571046025,,757,6.903978025033531,13.064950336197773,1.7128334071261075,1.7749973872326017
2,clean,0,0,True,0,0.0,22.6098070665,,839,4.417876477419003,13.067068034060277,0.9024321497280059,1.2474101207243933
2,clean,1,0,True,0,0.0,30.319708997499998,,839,3.7356830131339556,13.967501231168386,1.2202138794500865,1.6806580827379118
2,clean,2,0,True,0,0.0,30.675482973250002,,839,4.826710528729466,16.004969425522813,1.1852993045341693,1.4752401877870296
2,clean,3,0,True,0,0.0,28.749876713125,,839,4.40310451123069,13.779422106336176,1.1563638983356657,1.5197538039531564
2,clean,4,0,True,0,0.0,24.5350504895,,839,3.462504623367498,11.92880350340758,1.1877706511961474,1.3958546333577255
2,random_swap,0,100,True,1,0.025,24.79043291025,23.42937333,839,4.553314113577647,12.690275601888645,1.0048179958012189,1.2459667012761444
2,random_swap,1,100,True,0,0.0,32.35658556875,,838,3.0803227626062206,14.007770901422361,1.3852405449395244,2.049293617968306
2,random_swap,2,100,True,0,0.0,27.992021205624997,,838,4.200619672846912,13.42338426345286,1.1883639908444001,1.5165795306214398
2,random_swap,3,100,True,0,0.0,27.233474380500002,,838,3.9846121349754022,12.686067588388969,1.2225165563289213,1.488346762789182
2,random_swap,4,100,True,0,0.0,23.79484497275,,838,3.523523084283214,11.630120606980821,1.3124502267520095,1.5428606343162155
2,targeted_relink,0,100,True,40,1.0,1.22885986475,1.22885986475,839,17.282925139691656,7.992114226847251,1.9610580662899715,0.9135103345201189
2,targeted_relink,1,100,True,34,0.85,10.407640557875,8.32610858102941,799,7.493606731224273,6.660481671118249,2.716809672565324,3.2325412159044227
2,targeted_relink,2,100,True,40,1.0,1.3832970924999999,1.3832970924999999,765,12.904247457694286,15.230635026707903,2.2310318513048215,2.1380906169079172
2,targeted_relink,3,100,True,0,0.0,24.671887604,,725,5.618142376628421,9.085596553669374,1.6450313008566788,1.410811152699268
2,targeted_relink,4,100,True,0,0.0,20.04214533975,,725,5.013596832302368,10.635273685250523,2.0457961832186258,1.744758217976994
3,clean,0,0,True,0,0.0,25.714272622,,839,4.3508024944879375,15.019278541843162,0.9188281502363624,1.4080481729533083
3,clean,1,0,True,0,0.0,32.13691435975,,839,5.362280691054052,16.98602779213898,1.2603327004980611,1.719993043609497
3,clean,2,0,True,0,0.0,29.894100263874996,,839,4.345901223985189,14.308846802571555,1.2526217354100129,1.5374079156442224
3,clean,3,0,True,0,0.0,26.2453317535,,839,4.466066733256682,15.241719147853196,1.1654790384553924,1.420885969203345
3,clean,4,0,True,0,0.0,23.266482286875,,839,3.880204158349613,13.72151914101025,1.1481172612762092,1.5403372030243028
3,random_swap,0,100,True,0,0.0,25.91491906,,839,4.454506827211224,14.891640541932217,0.9403867998259496,1.4032079632546697
3,random_swap,1,100,True,0,0.0,31.850414421,,839,5.285330657823164,16.838106113076762,1.3370844717631858,1.8027289720760358
3,random_swap,2,100,True,0,0.0,29.179114596750004,,839,3.642952930774948,13.969577708733606,1.3200544938856869,1.5884134219288935
3,random_swap,3,100,True,0,0.0,26.235399800624997,,839,4.647756080770985,15.771980797917605,1.1892227679172758,1.479358147700725
3,random_swap,4,100,True,0,0.0,24.279214174000003,,839,3.0179338975876635,12.824948196463513,1.1556609541690357,1.5420698660918224
3,targeted_relink,0,100,True,40,1.0,1.3046725917500002,1.3046725917500002,839,18.58077377399448,8.83856466885598,2.0415066103758903,1.015919884979139
3,targeted_relink,1,100,True,40,1.0,2.289201600875,2.289201600875,799,13.248434851299768,12.216613752911439,2.6655303515159177,2.704878931856666
3,targeted_relink,2,100,True,39,0.975,7.369282993499999,6.991964870512819,759,6.5584668962643615,5.687530173301982,1.5936423659010297,1.2759800869628182
3,targeted_relink,3,100,True,35,0.875,8.217557263124998,6.164000323571428,720,4.957041969498151,5.71398351201513,1.4749940327439168,1.2345935938112573
3,targeted_relink,4,100,True,2,0.05,24.548917577625,2.4535577574999996,685,2.6767487474664233,6.618961284327782,1.6030890883140128,1.345151214657956
4,clean,0,0,True,0,0.0,27.098308328375005,,839,4.306041865880753,14.892950475020582,0.9144333021819377,1.280599025202164
