dataset,run_dir,model,detection_round,threshold,mode,seed,candidate_count,candidate_target_count,candidate_target_prevalence,cumulative_selected_count,cumulative_target_count,cumulative_target_fraction,concentration_ratio,flagged,is_target_mode
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,0,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,1,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,2,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,3,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,4,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,5,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,6,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,7,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,8,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,clean,9,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,0,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,1,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,2,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,3,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,4,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,5,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,6,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,7,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,8,2346,53,0.022591645353793693,100,1,0.01,0.44264150943396224,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,random_swap,9,2346,54,0.023017902813299233,100,0,0.0,0.0,False,False
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,0,2346,13,0.005541346973572037,100,41,0.41,73.98923076923077,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,1,2346,15,0.00639386189258312,100,40,0.4,62.56,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,2,2346,13,0.005541346973572037,100,42,0.42,75.79384615384616,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,3,2346,14,0.005967604433077579,100,40,0.4,67.02857142857144,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,4,2346,14,0.005967604433077579,100,40,0.4,67.02857142857144,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,5,2346,14,0.005967604433077579,100,41,0.41,68.70428571428572,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,6,2346,13,0.005541346973572037,100,41,0.41,73.98923076923077,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,7,2346,11,0.004688832054560955,100,43,0.43,91.70727272727272,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,8,2346,17,0.007246376811594203,100,38,0.38,52.44,True,True
b18_materials_greedy_mlp,runs/20260529T113213Z_b18-materials-disttrigger-dim32-s001-25swap-bg1024-mlp-tabm-10seed-80ep,mlp,1,0.44264150943396224,targeted_swap,9,2346,14,0.005967604433077579,100,40,0.4,67.02857142857144,True,True
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,0,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,1,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,2,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,3,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,4,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,5,45420,239,0.005261999119330691,200,1,0.005,0.9502092050209205,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,6,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,7,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,8,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,clean,9,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,0,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,1,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,2,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,3,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,4,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,5,45420,239,0.005261999119330691,200,1,0.005,0.9502092050209205,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,6,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,7,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b19_gfp_greedy_mlp,runs/20260529T115315Z_b19-gfp-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-tabm-10seed-80ep,mlp,1,0.9502092050209205,random_swap,8,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
