dataset,run_dir,model,threshold,control_rounds,target_rounds,false_positive_rate,true_positive_rate,target_proposed_mean,target_executed_residual_mean,target_prevented_mean,target_prevented_fraction,observed_online_proposed_mean,observed_online_executed_mean,observed_online_prevented_mean,mean_recorded_prevented_per_round
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,1.25,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,1.5,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,1.75,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,2.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,2.5,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,3.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,4.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,6.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,8.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,10.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,15.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
materials,runs/20260530T154250Z_b38-materials-online-quarantine-disttrigger-dim32-s001-25swap-bg1024-mlp-10seed-80ep,mlp,20.0,100,50,0.0,1.0,222.9,0.0,222.9,1.0,222.9,0.0,222.9,14.86
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,0.0,120,60,0.225,0.8333333333333334,37.7,0.0,37.7,1.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,0.25,120,60,0.225,0.8333333333333334,37.7,0.0,37.7,1.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,0.5,120,60,0.16666666666666666,0.8333333333333334,37.7,0.0,37.7,1.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,0.75,120,60,0.11666666666666667,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,1.0,120,60,0.08333333333333333,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,1.25,120,60,0.08333333333333333,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,1.5,120,60,0.041666666666666664,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,1.75,120,60,0.03333333333333333,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,2.0,120,60,0.025,0.8166666666666667,37.7,0.1,37.6,0.9965517241379309,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,2.5,120,60,0.008333333333333333,0.8,37.7,0.5,37.2,0.9827586206896551,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,3.0,120,60,0.0,0.7666666666666667,37.7,1.5,36.2,0.8373040752351096,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,4.0,120,60,0.0,0.16666666666666666,37.7,29.7,8.0,0.2008437270726339,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,6.0,120,60,0.0,0.0,37.7,37.7,0.0,0.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,8.0,120,60,0.0,0.0,37.7,37.7,0.0,0.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,10.0,120,60,0.0,0.0,37.7,37.7,0.0,0.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,15.0,120,60,0.0,0.0,37.7,37.7,0.0,0.0,37.7,1.5,36.2,2.011111111111111
cameo,runs/20260530T155109Z_b39-cameo-online-quarantine-rfucb-10seed,rf_ensemble_ucb,20.0,120,60,0.0,0.0,37.7,37.7,0.0,0.0,37.7,1.5,36.2,2.011111111111111
