run_dir,shift,target_axis,target_count,remaining_target_candidates,selected_rounds,selected_target_axis_mean_shift_delta,clean_final_target_count,random_final_target_count,planned_final_target_count,planned_excess_vs_random,planned_excess_vs_clean,planned_target_rank_percentile,random_target_rank_percentile,clean_target_rank_percentile,label_multiset_preserved,source_archive_sha256
runs/20260530T195020Z_b58-sample-metadata-shift-replay-shift-minus2,-2,frag0=P3F0,9,6,"3,13,19",14.715799492370147,1.1,2.0,2.7,0.7000000000000002,1.6,0.6893004115226338,0.48559670781893,0.3214814814814815,True,b1018ddde2a4e2ea82122174932c5c997cbe4199ea8934bd1e73e2d186fb1549
runs/20260530T195020Z_b58-sample-metadata-shift-replay-shift-minus1,-1,frag0=P3F0,9,6,"9,11,15",10.694198361678154,1.2,1.2,1.8,0.6000000000000001,0.6000000000000001,0.587962962962963,0.3018518518518519,0.3037037037037037,True,b1018ddde2a4e2ea82122174932c5c997cbe4199ea8934bd1e73e2d186fb1549
runs/20260530T195020Z_b58-sample-metadata-shift-replay-shift1,1,frag0=P3F0,9,6,"3,6,13",18.311809080016797,0.4,1.5,2.7,1.2000000000000002,2.3000000000000003,0.6309523809523809,0.418452380952381,0.4329761904761905,True,b1018ddde2a4e2ea82122174932c5c997cbe4199ea8934bd1e73e2d186fb1549
runs/20260530T194912Z_b58-sample-metadata-shift-replay,2,frag0=P3F0,9,6,"3,11,15",17.7397167908989,1.1,1.6,1.4,-0.20000000000000018,0.2999999999999998,0.38125,0.3104166666666667,0.3583333333333333,True,b1018ddde2a4e2ea82122174932c5c997cbe4199ea8934bd1e73e2d186fb1549
